"";"pred";"obs"
"1";0,876044690608978;0,933972902304047
"2";0,570561289787292;0,494580789699285
"3";0,438693255186081;0,382708356364977
"4";0,242306143045425;0,216270106297997
"5";0,0720813795924187;0,096673728582876
"6";0,486152917146683;0,425065427309466
"7";0,35039746761322;0,346206573968022
"8";0,395196527242661;0,359411993507213
"9";0,377457797527313;0,378597256225171
"10";0,572949647903442;0,60956769925421
"11";0,110568016767502;0,0954279331114472
"12";0,498349338769913;0,468543664346422
"13";0,196959882974625;0,163323786304318
"14";0,0725520998239517;0
"15";0,211853787302971;0,187367651360848
"16";0,432962089776993;0,283916800396582
"17";0,22601006925106;0,162327149927175
"18";0,268991708755493;0,23931732251943
"19";0,69815331697464;0,600473404770734
"20";0,52178293466568;0,516631369543575
"21";0,30447119474411;0,284664265221484
"22";0,433697521686554;0,366139276594974
"23";0,268236011266708;0,270835935488624
"24";0,382212489843369;0,342095448912307
"25";0,30568066239357;0,285162570952101
"26";0,394433736801147;0,405755609960274
"27";0,397961556911469;0,451849992571322
"28";0,607644438743591;0,640214305225223
"29";0,386206805706024;0,296748481294344
"30";0,1010597422719;0,0311448867857204
"31";0,110874749720097;0,113118228805736
"32";0,214543014764786;0,234583287270046
"33";0,400804370641708;0,382832960828029
"34";0,424356609582901;0,261866208094337
"35";0,429789811372757;0,397035029202318
"36";0,767201244831085;0,901582145299169
"37";0,426029562950134;0,388189893813128
"38";0,227213248610497;0,186993900261465
"39";0,417417079210281;0,332253652230065
"40";0,128512978553772;0,126199081255739
"41";0,146236404776573;0,137411240498598
"42";0,379751533269882;0,315809152007204
"43";0,472085207700729;0,431543563760896
"44";0,467048972845078;0,435280937717228
"45";0,422489166259766;0,35280927750864
"46";0,317749470472336;0,304472413217202
"47";0,692668437957764;0,647689065595841
"48";0,836830019950867;0,779494251388919
"49";0,331084251403809;0,390307721198648
"50";0,90716940164566;0,779494251388919
"51";0,819672524929047;0,827457352123019
"52";0,74750953912735;0,703500690257897
"53";0,486145555973053;0,422573823908654
"54";0,3184914290905;0,113865706088594
"55";0,473778188228607;0,443378583365606
"56";0,5148024559021;0,603463326360118
"57";0,562329530715942;0,476765901999898
"58";0,180855423212051;0,195216150372895
"59";0,161539062857628;0,163074627210032
"60";0,231725677847862;0,291017834583726
"61";0,495472371578217;0,548897472253581
"62";0,626888930797577;0,678709385292373
"63";0,183433264493942;0,158465183965745
"64";0,700122356414795;0,920767408017127
"65";0,129265278577805;0,127195717632882
